endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc
meetings,2023,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/meetings/year=2023/meetings.jsonl,24,success,,2026-05-19T17:41:32+00:00
meetings,2024,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/meetings/year=2024/meetings.jsonl,25,success,,2026-05-19T17:41:33+00:00
meetings,2025,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/meetings/year=2025/meetings.jsonl,25,success,,2026-05-19T17:41:33+00:00
sessions,2023,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/sessions/year=2023/sessions.jsonl,118,success,,2026-05-19T17:41:33+00:00
sessions,2024,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/sessions/year=2024/sessions.jsonl,123,success,,2026-05-19T17:41:34+00:00
sessions,2025,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/sessions/year=2025/sessions.jsonl,123,success,,2026-05-19T17:41:34+00:00
drivers,2023,7779,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=7779.jsonl,20,success,,2026-05-19T17:41:36+00:00
drivers,2023,7787,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=7787.jsonl,20,success,,2026-05-19T17:41:36+00:00
drivers,2023,7953,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=7953.jsonl,20,success,,2026-05-19T17:41:36+00:00
drivers,2023,9069,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9069.jsonl,19,success,,2026-05-19T17:41:37+00:00
drivers,2023,9070,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9070.jsonl,20,success,,2026-05-19T17:41:37+00:00
drivers,2023,9078,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9078.jsonl,20,success,,2026-05-19T17:41:38+00:00
drivers,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9086.jsonl,0,failed,"HTTP 404 for drivers params={'session_key': 9086}: {""detail"":""No results found.""}",2026-05-19T17:41:38+00:00
drivers,2023,9094,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9094.jsonl,20,success,,2026-05-19T17:41:38+00:00
drivers,2023,9102,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9102.jsonl,20,success,,2026-05-19T17:41:39+00:00
drivers,2023,9110,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9110.jsonl,20,success,,2026-05-19T17:41:39+00:00
drivers,2023,9117,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9117.jsonl,20,success,,2026-05-19T17:41:39+00:00
drivers,2023,9118,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9118.jsonl,20,success,,2026-05-19T17:41:40+00:00
drivers,2023,9126,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9126.jsonl,20,success,,2026-05-19T17:41:40+00:00
drivers,2023,9133,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9133.jsonl,20,success,,2026-05-19T17:41:40+00:00
drivers,2023,9140,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9140.jsonl,20,success,,2026-05-19T17:41:41+00:00
drivers,2023,9141,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9141.jsonl,20,success,,2026-05-19T17:41:41+00:00
drivers,2023,9149,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9149.jsonl,20,success,,2026-05-19T17:41:42+00:00
drivers,2023,9157,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9157.jsonl,20,success,,2026-05-19T17:41:42+00:00
drivers,2023,9165,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9165.jsonl,19,success,,2026-05-19T17:41:42+00:00
drivers,2023,9173,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9173.jsonl,20,success,,2026-05-19T17:41:43+00:00
drivers,2023,9181,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9181.jsonl,20,success,,2026-05-19T17:41:43+00:00
drivers,2023,9189,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9189.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9189},2026-05-19T17:41:48+00:00
drivers,2023,9197,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9197.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9197},2026-05-19T17:41:54+00:00
drivers,2023,9204,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9204.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9204},2026-05-19T17:41:59+00:00
drivers,2023,9205,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9205.jsonl,20,success,,2026-05-19T17:42:01+00:00
drivers,2023,9212,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9212.jsonl,20,success,,2026-05-19T17:42:01+00:00
drivers,2023,9213,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9213.jsonl,20,success,,2026-05-19T17:42:01+00:00
drivers,2023,9220,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9220.jsonl,20,success,,2026-05-19T17:42:02+00:00
drivers,2023,9221,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9221.jsonl,20,success,,2026-05-19T17:42:02+00:00
drivers,2024,9472,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9472.jsonl,20,success,,2026-05-19T17:42:02+00:00
drivers,2024,9480,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9480.jsonl,20,success,,2026-05-19T17:42:03+00:00
drivers,2024,9488,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9488.jsonl,19,success,,2026-05-19T17:42:03+00:00
drivers,2024,9496,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9496.jsonl,20,success,,2026-05-19T17:42:04+00:00
drivers,2024,9506,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9506.jsonl,20,success,,2026-05-19T17:42:04+00:00
drivers,2024,9507,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9507.jsonl,20,success,,2026-05-19T17:42:04+00:00
drivers,2024,9515,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9515.jsonl,20,success,,2026-05-19T17:42:05+00:00
drivers,2024,9523,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9523.jsonl,20,success,,2026-05-19T17:42:05+00:00
drivers,2024,9531,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9531.jsonl,20,success,,2026-05-19T17:42:05+00:00
drivers,2024,9539,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9539.jsonl,20,success,,2026-05-19T17:42:06+00:00
drivers,2024,9549,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9549.jsonl,20,success,,2026-05-19T17:42:06+00:00
drivers,2024,9550,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9550.jsonl,20,success,,2026-05-19T17:42:07+00:00
drivers,2024,9558,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9558.jsonl,20,success,,2026-05-19T17:42:07+00:00
drivers,2024,9566,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9566.jsonl,20,success,,2026-05-19T17:42:07+00:00
drivers,2024,9574,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9574.jsonl,20,success,,2026-05-19T17:42:08+00:00
drivers,2024,9582,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9582.jsonl,20,success,,2026-05-19T17:42:08+00:00
drivers,2024,9590,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9590.jsonl,20,success,,2026-05-19T17:42:08+00:00
drivers,2024,9598,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9598.jsonl,20,success,,2026-05-19T17:42:09+00:00
drivers,2024,9606,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9606.jsonl,20,success,,2026-05-19T17:42:09+00:00
drivers,2024,9616,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9616.jsonl,20,success,,2026-05-19T17:42:10+00:00
drivers,2024,9617,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9617.jsonl,20,success,,2026-05-19T17:42:10+00:00
drivers,2024,9625,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9625.jsonl,20,success,,2026-05-19T17:42:10+00:00
drivers,2024,9635,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9635.jsonl,20,success,,2026-05-19T17:42:11+00:00
drivers,2024,9636,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9636.jsonl,20,success,,2026-05-19T17:42:11+00:00
drivers,2024,9644,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9644.jsonl,20,success,,2026-05-19T17:42:11+00:00
drivers,2024,9654,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9654.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9654},2026-05-19T17:42:17+00:00
drivers,2024,9655,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9655.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9655},2026-05-19T17:42:22+00:00
drivers,2024,9662,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9662.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9662},2026-05-19T17:42:27+00:00
drivers,2024,9672,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9672.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9672},2026-05-19T17:42:33+00:00
drivers,2024,9673,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9673.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9673},2026-05-19T17:42:38+00:00
drivers,2025,9693,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9693.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9693},2026-05-19T17:42:43+00:00
drivers,2025,9839,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9839.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9839},2026-05-19T17:42:49+00:00
drivers,2025,9845,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9845.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9845},2026-05-19T17:42:54+00:00
drivers,2025,9850,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9850.jsonl,0,failed,HTTP 429 rate limit for drivers params={'session_key': 9850},2026-05-19T17:42:59+00:00
drivers,2025,9858,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9858.jsonl,20,success,,2026-05-19T17:43:00+00:00
drivers,2025,9864,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9864.jsonl,20,success,,2026-05-19T17:43:00+00:00
drivers,2025,9869,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9869.jsonl,20,success,,2026-05-19T17:43:00+00:00
drivers,2025,9877,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9877.jsonl,20,success,,2026-05-19T17:43:01+00:00
drivers,2025,9883,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9883.jsonl,20,success,,2026-05-19T17:43:01+00:00
drivers,2025,9888,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9888.jsonl,20,success,,2026-05-19T17:43:02+00:00
drivers,2025,9896,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9896.jsonl,20,success,,2026-05-19T17:43:02+00:00
drivers,2025,9904,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9904.jsonl,20,success,,2026-05-19T17:43:02+00:00
drivers,2025,9912,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9912.jsonl,20,success,,2026-05-19T17:43:03+00:00
drivers,2025,9920,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9920.jsonl,20,success,,2026-05-19T17:43:03+00:00
drivers,2025,9928,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9934,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9939,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,20,success,,2026-05-19T17:43:04+00:00
drivers,2025,9947,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,20,success,,2026-05-19T17:43:05+00:00
drivers,2025,9955,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,20,success,,2026-05-19T17:43:05+00:00
drivers,2025,9963,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9963.jsonl,20,success,,2026-05-19T17:43:05+00:00
