endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,previous_status,previous_error_message,retry_attempt
drivers,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9086.jsonl,0,failed,"HTTP 404 for drivers params={'session_key': 9086}: {""detail"":""No results found.""}",2026-05-19T20:46:18+00:00,failed,"HTTP 404 for drivers params={'session_key': 9086}: {""detail"":""No results found.""}",1
drivers,2023,9189,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9189.jsonl,20,success,,2026-05-19T20:46:24+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9189},1
drivers,2023,9197,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9197.jsonl,20,success,,2026-05-19T20:46:30+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9197},1
drivers,2023,9204,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9204.jsonl,20,success,,2026-05-19T20:46:36+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9204},1
drivers,2024,9654,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9654.jsonl,20,success,,2026-05-19T20:46:43+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9654},1
drivers,2024,9655,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9655.jsonl,20,success,,2026-05-19T20:46:49+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9655},1
drivers,2024,9662,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9662.jsonl,20,success,,2026-05-19T20:46:55+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9662},1
drivers,2024,9672,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9672.jsonl,20,success,,2026-05-19T20:47:01+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9672},1
drivers,2024,9673,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9673.jsonl,20,success,,2026-05-19T20:47:07+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9673},1
drivers,2025,9693,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9693.jsonl,20,success,,2026-05-19T20:47:13+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9693},1
drivers,2025,9839,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9839.jsonl,20,success,,2026-05-19T20:47:20+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9839},1
drivers,2025,9845,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9845.jsonl,20,success,,2026-05-19T20:47:26+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9845},1
drivers,2025,9850,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9850.jsonl,20,success,,2026-05-19T20:47:32+00:00,failed,HTTP 429 rate limit for drivers params={'session_key': 9850},1
laps,2023,9070,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9070.jsonl,963,success,,2026-05-19T20:47:38+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9070},1
laps,2023,9078,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9078.jsonl,1139,success,,2026-05-19T20:47:45+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9078},1
laps,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9086.jsonl,0,failed,"HTTP 404 for laps params={'session_key': 9086}: {""detail"":""No results found.""}",2026-05-19T20:47:51+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9086},1
laps,2023,9094,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9094.jsonl,1516,success,,2026-05-19T20:47:57+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9094},1
laps,2023,9102,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9102.jsonl,1312,success,,2026-05-19T20:48:04+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9102},1
laps,2023,9110,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9110.jsonl,1318,success,,2026-05-19T20:48:11+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9110},1
laps,2023,9117,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9117.jsonl,480,success,,2026-05-19T20:48:17+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9117},1
laps,2023,9118,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9118.jsonl,1355,success,,2026-05-19T20:48:24+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9118},1
laps,2023,9126,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9126.jsonl,974,success,,2026-05-19T20:48:30+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9126},1
laps,2024,9574,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9574.jsonl,842,success,,2026-05-19T20:48:36+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9574},1
laps,2024,9582,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9582.jsonl,1426,success,,2026-05-19T20:48:43+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9582},1
laps,2024,9590,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9590.jsonl,1009,success,,2026-05-19T20:48:49+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9590},1
laps,2024,9598,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9598.jsonl,975,success,,2026-05-19T20:48:56+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9598},1
laps,2024,9606,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9606.jsonl,1179,success,,2026-05-19T20:49:02+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9606},1
laps,2024,9616,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9616.jsonl,380,success,,2026-05-19T20:49:09+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9616},1
laps,2024,9617,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9617.jsonl,1059,success,,2026-05-19T20:49:15+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9617},1
laps,2024,9625,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9625.jsonl,1216,success,,2026-05-19T20:49:22+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9625},1
laps,2025,9987,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9987.jsonl,1207,success,,2026-05-19T20:49:28+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9987},1
laps,2025,9993,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9993.jsonl,380,success,,2026-05-19T20:49:34+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9993},1
laps,2025,9998,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9998.jsonl,1066,success,,2026-05-19T20:49:41+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 9998},1
laps,2025,10006,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=10006.jsonl,1059,success,,2026-05-19T20:49:47+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 10006},1
laps,2025,10014,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=10014.jsonl,1129,success,,2026-05-19T20:49:53+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 10014},1
laps,2025,10022,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=10022.jsonl,899,success,,2026-05-19T20:50:00+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 10022},1
laps,2025,10028,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=10028.jsonl,341,success,,2026-05-19T20:50:06+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 10028},1
laps,2025,10033,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=10033.jsonl,559,success,,2026-05-19T20:50:12+00:00,failed,HTTP 429 rate limit for laps params={'session_key': 10033},1
pit,2023,7779,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7779.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 7779}: {""detail"":""No results found.""}",2026-05-19T20:50:19+00:00,failed,"HTTP 404 for pit params={'session_key': 7779}: {""detail"":""No results found.""}",1
pit,2023,7787,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7787.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 7787}: {""detail"":""No results found.""}",2026-05-19T20:50:25+00:00,failed,"HTTP 404 for pit params={'session_key': 7787}: {""detail"":""No results found.""}",1
pit,2023,7953,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7953.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 7953}: {""detail"":""No results found.""}",2026-05-19T20:50:31+00:00,failed,"HTTP 404 for pit params={'session_key': 7953}: {""detail"":""No results found.""}",1
pit,2023,9069,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9069.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9069}: {""detail"":""No results found.""}",2026-05-19T20:50:37+00:00,failed,"HTTP 404 for pit params={'session_key': 9069}: {""detail"":""No results found.""}",1
pit,2023,9070,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9070.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9070}: {""detail"":""No results found.""}",2026-05-19T20:50:43+00:00,failed,"HTTP 404 for pit params={'session_key': 9070}: {""detail"":""No results found.""}",1
pit,2023,9078,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9078.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9078}: {""detail"":""No results found.""}",2026-05-19T20:50:49+00:00,failed,"HTTP 404 for pit params={'session_key': 9078}: {""detail"":""No results found.""}",1
pit,2023,9086,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9086.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9086}: {""detail"":""No results found.""}",2026-05-19T20:50:55+00:00,failed,"HTTP 404 for pit params={'session_key': 9086}: {""detail"":""No results found.""}",1
pit,2023,9094,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9094.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9094}: {""detail"":""No results found.""}",2026-05-19T20:51:01+00:00,failed,"HTTP 404 for pit params={'session_key': 9094}: {""detail"":""No results found.""}",1
pit,2023,9204,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9204.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9204}: {""detail"":""No results found.""}",2026-05-19T20:51:08+00:00,failed,"HTTP 404 for pit params={'session_key': 9204}: {""detail"":""No results found.""}",1
pit,2023,9212,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9212.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9212}: {""detail"":""No results found.""}",2026-05-19T20:51:14+00:00,failed,"HTTP 404 for pit params={'session_key': 9212}: {""detail"":""No results found.""}",1
pit,2024,9480,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9480.jsonl,19,success,,2026-05-19T20:51:20+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9480},1
pit,2024,9488,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9488.jsonl,36,success,,2026-05-19T20:51:26+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9488},1
pit,2024,9496,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9496.jsonl,54,success,,2026-05-19T20:51:32+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9496},1
pit,2024,9506,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9506.jsonl,37,success,,2026-05-19T20:51:38+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9506},1
pit,2024,9507,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9507.jsonl,28,success,,2026-05-19T20:51:44+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9507},1
pit,2024,9515,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9515.jsonl,27,success,,2026-05-19T20:51:50+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9515},1
pit,2024,9523,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9523.jsonl,23,success,,2026-05-19T20:51:56+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9523},1
pit,2024,9531,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9531.jsonl,42,success,,2026-05-19T20:52:03+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9531},1
pit,2024,9539,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9539.jsonl,42,success,,2026-05-19T20:52:09+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9539},1
pit,2024,9549,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9549.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9549}: {""detail"":""No results found.""}",2026-05-19T20:52:15+00:00,failed,"HTTP 404 for pit params={'session_key': 9549}: {""detail"":""No results found.""}",1
pit,2024,9616,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9616.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9616}: {""detail"":""No results found.""}",2026-05-19T20:52:21+00:00,failed,"HTTP 404 for pit params={'session_key': 9616}: {""detail"":""No results found.""}",1
pit,2024,9635,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9635.jsonl,0,failed,"HTTP 404 for pit params={'session_key': 9635}: {""detail"":""No results found.""}",2026-05-19T20:52:27+00:00,failed,"HTTP 404 for pit params={'session_key': 9635}: {""detail"":""No results found.""}",1
pit,2025,9896,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2025/session_key=9896.jsonl,23,success,,2026-05-19T20:52:33+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9896},1
pit,2025,9904,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2025/session_key=9904.jsonl,21,success,,2026-05-19T20:52:40+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9904},1
pit,2025,9912,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2025/session_key=9912.jsonl,19,success,,2026-05-19T20:52:46+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9912},1
pit,2025,9920,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2025/session_key=9920.jsonl,40,success,,2026-05-19T20:52:52+00:00,failed,HTTP 429 rate limit for pit params={'session_key': 9920},1
