endpoint,column_name,files_seen,max_files_for_endpoint,coverage_pct,possible_schema_drift_flag
drivers,broadcast_name,76,76,100.0,False
drivers,country_code,76,76,100.0,False
drivers,driver_number,76,76,100.0,False
drivers,first_name,76,76,100.0,False
drivers,full_name,76,76,100.0,False
drivers,headshot_url,76,76,100.0,False
drivers,last_name,76,76,100.0,False
drivers,meeting_key,76,76,100.0,False
drivers,name_acronym,76,76,100.0,False
drivers,session_key,76,76,100.0,False
drivers,team_colour,76,76,100.0,False
drivers,team_name,76,76,100.0,False
laps,date_start,64,64,100.0,False
laps,driver_number,64,64,100.0,False
laps,duration_sector_1,64,64,100.0,False
laps,duration_sector_2,64,64,100.0,False
laps,duration_sector_3,64,64,100.0,False
laps,i1_speed,64,64,100.0,False
laps,i2_speed,64,64,100.0,False
laps,is_pit_out_lap,64,64,100.0,False
laps,lap_duration,64,64,100.0,False
laps,lap_number,64,64,100.0,False
laps,meeting_key,64,64,100.0,False
laps,segments_sector_1,64,64,100.0,False
laps,segments_sector_2,64,64,100.0,False
laps,segments_sector_3,64,64,100.0,False
laps,session_key,64,64,100.0,False
laps,st_speed,64,64,100.0,False
meetings,circuit_image,3,3,100.0,False
meetings,circuit_info_url,3,3,100.0,False
meetings,circuit_key,3,3,100.0,False
meetings,circuit_short_name,3,3,100.0,False
meetings,circuit_type,3,3,100.0,False
meetings,country_code,3,3,100.0,False
meetings,country_flag,3,3,100.0,False
meetings,country_key,3,3,100.0,False
meetings,country_name,3,3,100.0,False
meetings,date_end,3,3,100.0,False
meetings,date_start,3,3,100.0,False
meetings,gmt_offset,3,3,100.0,False
meetings,is_cancelled,3,3,100.0,False
meetings,location,3,3,100.0,False
meetings,meeting_key,3,3,100.0,False
meetings,meeting_name,3,3,100.0,False
meetings,meeting_official_name,3,3,100.0,False
meetings,year,3,3,100.0,False
pit,date,59,59,100.0,False
pit,driver_number,59,59,100.0,False
pit,lane_duration,59,59,100.0,False
pit,lap_number,59,59,100.0,False
pit,meeting_key,59,59,100.0,False
pit,pit_duration,59,59,100.0,False
pit,session_key,59,59,100.0,False
pit,stop_duration,59,59,100.0,False
position,date,67,67,100.0,False
position,driver_number,67,67,100.0,False
position,meeting_key,67,67,100.0,False
position,position,67,67,100.0,False
position,session_key,67,67,100.0,False
race_control,category,64,64,100.0,False
race_control,date,64,64,100.0,False
race_control,driver_number,64,64,100.0,False
race_control,flag,64,64,100.0,False
race_control,lap_number,64,64,100.0,False
race_control,meeting_key,64,64,100.0,False
race_control,message,64,64,100.0,False
race_control,qualifying_phase,64,64,100.0,False
race_control,scope,64,64,100.0,False
race_control,sector,64,64,100.0,False
race_control,session_key,64,64,100.0,False
session_result,dnf,72,72,100.0,False
session_result,dns,72,72,100.0,False
session_result,driver_number,72,72,100.0,False
session_result,dsq,72,72,100.0,False
session_result,duration,72,72,100.0,False
session_result,gap_to_leader,72,72,100.0,False
session_result,meeting_key,72,72,100.0,False
session_result,number_of_laps,72,72,100.0,False
session_result,points,72,72,100.0,False
session_result,position,72,72,100.0,False
session_result,session_key,72,72,100.0,False
sessions,circuit_key,3,3,100.0,False
sessions,circuit_short_name,3,3,100.0,False
sessions,country_code,3,3,100.0,False
sessions,country_key,3,3,100.0,False
sessions,country_name,3,3,100.0,False
sessions,date_end,3,3,100.0,False
sessions,date_start,3,3,100.0,False
sessions,gmt_offset,3,3,100.0,False
sessions,is_cancelled,3,3,100.0,False
sessions,location,3,3,100.0,False
sessions,meeting_key,3,3,100.0,False
sessions,session_key,3,3,100.0,False
sessions,session_name,3,3,100.0,False
sessions,session_type,3,3,100.0,False
sessions,year,3,3,100.0,False
weather,air_temperature,70,70,100.0,False
weather,date,70,70,100.0,False
weather,humidity,70,70,100.0,False
weather,meeting_key,70,70,100.0,False
weather,pressure,70,70,100.0,False
weather,rainfall,70,70,100.0,False
weather,session_key,70,70,100.0,False
weather,track_temperature,70,70,100.0,False
weather,wind_direction,70,70,100.0,False
weather,wind_speed,70,70,100.0,False
