table_name,column_name,count,mean,std,min,p01,p05,p25,median,p75,p95,p99,max
driver_race_feature_mart,session_key,1756,9516.313781,443.311154,7779.0,7779.0,9070.0,9204.0,9590.0,9878.5,10006.0,10033.0,10033.0
driver_race_feature_mart,meeting_key,1756,1239.169134,27.314281,1141.0,1141.0,1207.0,1222.0,1242.0,1259.25,1274.0,1277.0,1277.0
driver_race_feature_mart,driver_number,1756,28.687927,23.819561,1.0,1.0,1.75,11.0,22.0,44.0,81.0,87.0,87.0
driver_race_feature_mart,points_finish,1756,0.474943,0.499514,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
driver_race_feature_mart,final_position,1579,9.547182,5.29804,1.0,1.0,1.0,5.0,9.0,14.0,18.0,20.0,20.0
driver_race_feature_mart,result_points,1756,4.362756,6.662987,0.0,0.0,0.0,0.0,0.0,7.0,18.0,25.0,26.0
driver_race_feature_mart,session_year,1756,2024.023349,0.811612,2023.0,2023.0,2023.0,2023.0,2024.0,2025.0,2025.0,2025.0,2025.0
driver_race_feature_mart,circuit_key,1756,57.215262,55.171014,2.0,2.0,4.0,13.0,39.0,70.0,151.0,152.0,152.0
driver_race_feature_mart,lap_count,1756,47.915718,20.643018,0.0,1.0,11.0,24.0,53.0,63.0,72.0,78.0,79.0
driver_race_feature_mart,avg_lap_duration,1713,97.323308,17.451372,69.644913,71.394631,75.3091,84.781545,97.463088,104.580242,125.049543,157.236433,292.5514
driver_race_feature_mart,median_lap_duration,1713,91.203529,12.619017,69.575,70.29796,73.0444,81.97,91.305,99.366,108.929,124.65148,216.592
driver_race_feature_mart,best_lap_duration,1713,88.803708,12.38144,67.012,69.05344,71.6608,79.409,88.746,97.141,107.0968,122.62072,216.592
driver_race_feature_mart,std_lap_duration,1707,24.866287,60.368269,0.286724,0.803899,1.551211,3.492911,7.796087,14.992524,175.513187,294.351865,636.12848
driver_race_feature_mart,avg_sector_1,1713,29.483779,6.588378,17.381348,17.927416,18.684452,26.008429,29.723684,33.052558,39.85909,44.333824,95.471
driver_race_feature_mart,avg_sector_2,1717,36.535466,7.6271,18.227741,18.896762,26.044523,30.54428,35.832727,41.414842,49.037061,61.2626,69.91
driver_race_feature_mart,avg_sector_3,1713,28.685407,7.046781,16.4052,17.094955,18.312442,23.872729,27.558962,33.219158,42.125754,47.595271,95.1265
driver_race_feature_mart,avg_i1_speed,1723,254.320595,43.914225,74.0,170.803851,179.21245,213.50781,269.084746,287.523158,315.8425,327.103077,343.4
driver_race_feature_mart,avg_i2_speed,1698,241.578783,43.69015,63.0,151.770808,173.37013,203.09902,248.77193,272.997556,303.628245,321.531956,329.714286
