child_table,parent_table,key_columns,distinct_child_keys,unmatched_rows,unmatched_pct,status,stage
drivers,sessions,session_key,88,0,0.0,checked,before
laps,sessions,session_key,88,0,0.0,checked,before
pit,sessions,session_key,75,0,0.0,checked,before
weather,sessions,session_key,88,0,0.0,checked,before
position,sessions,session_key,88,0,0.0,checked,before
race_control,sessions,session_key,88,0,0.0,checked,before
session_result,sessions,session_key,88,0,0.0,checked,before
starting_grid,sessions,session_key,0,0,0.0,skipped_empty_child,before
laps,drivers,"session_key,driver_number",1753,0,0.0,checked,before
pit,drivers,"session_key,driver_number",1303,0,0.0,checked,before
position,drivers,"session_key,driver_number",1756,0,0.0,checked,before
session_result,drivers,"session_key,driver_number",1756,0,0.0,checked,before
starting_grid,drivers,"session_key,driver_number",0,0,0.0,skipped_empty_child,before
drivers,sessions,session_key,88,0,0.0,checked,after
laps,sessions,session_key,88,0,0.0,checked,after
pit,sessions,session_key,75,0,0.0,checked,after
weather,sessions,session_key,88,0,0.0,checked,after
position,sessions,session_key,88,0,0.0,checked,after
race_control,sessions,session_key,88,0,0.0,checked,after
session_result,sessions,session_key,88,0,0.0,checked,after
starting_grid,sessions,session_key,0,0,0.0,skipped_empty_child,after
laps,drivers,"session_key,driver_number",1753,0,0.0,checked,after
pit,drivers,"session_key,driver_number",1303,0,0.0,checked,after
position,drivers,"session_key,driver_number",1756,0,0.0,checked,after
session_result,drivers,"session_key,driver_number",1756,0,0.0,checked,after
starting_grid,drivers,"session_key,driver_number",0,0,0.0,skipped_empty_child,after
