model_name,split,actual,predicted,count
random_baseline,validation,0,0,166
random_baseline,validation,0,1,145
random_baseline,validation,1,0,156
random_baseline,validation,1,1,132
majority_baseline,validation,0,0,311
majority_baseline,validation,0,1,0
majority_baseline,validation,1,0,288
majority_baseline,validation,1,1,0
heuristic_position,validation,0,0,257
heuristic_position,validation,0,1,54
heuristic_position,validation,1,0,42
heuristic_position,validation,1,1,246
random_baseline,test,0,0,166
random_baseline,test,0,1,145
random_baseline,test,1,0,156
random_baseline,test,1,1,132
majority_baseline,test,0,0,311
majority_baseline,test,0,1,0
majority_baseline,test,1,0,288
majority_baseline,test,1,1,0
heuristic_position,test,0,0,239
heuristic_position,test,0,1,72
heuristic_position,test,1,0,60
heuristic_position,test,1,1,228
logistic_regression,validation,0,0,265
logistic_regression,validation,0,1,46
logistic_regression,validation,1,0,88
logistic_regression,validation,1,1,200
logistic_regression,test,0,0,211
logistic_regression,test,0,1,100
logistic_regression,test,1,0,60
logistic_regression,test,1,1,228
random_forest,validation,0,0,270
random_forest,validation,0,1,41
random_forest,validation,1,0,51
random_forest,validation,1,1,237
random_forest,test,0,0,256
random_forest,test,0,1,55
random_forest,test,1,0,67
random_forest,test,1,1,221
lightgbm,validation,0,0,263
lightgbm,validation,0,1,48
lightgbm,validation,1,0,67
lightgbm,validation,1,1,221
lightgbm,test,0,0,249
lightgbm,test,0,1,62
lightgbm,test,1,0,69
lightgbm,test,1,1,219
