table_name,rows_before,rows_after,rows_removed,row_removal_pct,columns_before,columns_after,missing_cells_before,missing_cells_after,missing_cell_pct_before,missing_cell_pct_after,duplicate_rows_before,duplicate_rows_after
meetings,74,74,0,0.0,19,19,0,0,0.0,0.0,0,0
sessions,364,364,0,0.0,16,16,0,0,0.0,0.0,0,0
drivers,1756,1756,0,0.0,13,13,663,663,2.9043,2.9043,0,0
laps,84140,84140,0,0.0,17,17,23152,23152,1.6186,1.6186,0,0
pit,2449,2449,0,0.0,9,9,1571,1571,7.1276,7.1276,0,0
weather,12674,12674,0,0.0,11,11,0,0,0.0,0.0,0,0
position,37778,37778,0,0.0,6,6,0,0,0.0,0.0,0,0
race_control,7193,7193,0,0.0,12,12,26018,26018,30.1427,30.1427,0,0
session_result,1756,1756,0,0.0,12,12,884,884,4.1951,4.1951,0,0
starting_grid,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
