table_name,column_name,dtype,row_count,missing_count,missing_pct,non_missing_count,unique_count
meetings,meeting_key,int64,25,0,0.0,25,25
meetings,meeting_name,object,25,0,0.0,25,25
meetings,meeting_official_name,object,25,0,0.0,25,25
meetings,location,object,25,0,0.0,25,24
meetings,country_key,int64,25,0,0.0,25,21
meetings,country_code,object,25,0,0.0,25,21
meetings,country_name,object,25,0,0.0,25,21
meetings,country_flag,object,25,0,0.0,25,21
meetings,circuit_key,int64,25,0,0.0,25,24
meetings,circuit_short_name,object,25,0,0.0,25,24
meetings,circuit_type,object,25,0,0.0,25,3
meetings,circuit_info_url,object,25,0,0.0,25,24
meetings,circuit_image,object,25,0,0.0,25,24
meetings,gmt_offset,object,25,0,0.0,25,12
meetings,date_start,object,25,0,0.0,25,25
meetings,date_end,object,25,0,0.0,25,25
meetings,year,int64,25,0,0.0,25,1
meetings,is_cancelled,bool,25,0,0.0,25,1
meetings,source_file,object,25,0,0.0,25,1
meetings,source_endpoint,object,25,0,0.0,25,1
meetings,source_year,int64,25,0,0.0,25,1
sessions,session_key,int64,123,0,0.0,123,123
sessions,session_type,object,123,0,0.0,123,3
sessions,session_name,object,123,0,0.0,123,10
sessions,date_start,"datetime64[ns, UTC]",123,0,0.0,123,123
sessions,date_end,"datetime64[ns, UTC]",123,0,0.0,123,123
sessions,meeting_key,int64,123,0,0.0,123,25
sessions,circuit_key,int64,123,0,0.0,123,24
sessions,circuit_short_name,object,123,0,0.0,123,24
sessions,country_key,int64,123,0,0.0,123,21
sessions,country_code,object,123,0,0.0,123,21
sessions,country_name,object,123,0,0.0,123,21
sessions,location,object,123,0,0.0,123,24
sessions,gmt_offset,object,123,0,0.0,123,12
sessions,year,int64,123,0,0.0,123,1
sessions,is_cancelled,bool,123,0,0.0,123,1
sessions,source_file,object,123,0,0.0,123,1
sessions,source_endpoint,object,123,0,0.0,123,1
sessions,source_year,int64,123,0,0.0,123,1
drivers,meeting_key,int64,40,0,0.0,40,2
drivers,session_key,int64,40,0,0.0,40,2
drivers,driver_number,int64,40,0,0.0,40,21
drivers,broadcast_name,object,40,0,0.0,40,21
drivers,full_name,object,40,0,0.0,40,21
drivers,name_acronym,object,40,0,0.0,40,21
drivers,team_name,object,40,0,0.0,40,10
drivers,team_colour,object,40,0,0.0,40,10
drivers,first_name,object,40,0,0.0,40,21
drivers,last_name,object,40,0,0.0,40,21
drivers,headshot_url,object,40,1,2.5,39,20
drivers,country_code,object,40,0,0.0,40,15
drivers,source_file,object,40,0,0.0,40,2
drivers,source_endpoint,object,40,0,0.0,40,1
drivers,source_year,int64,40,0,0.0,40,1
drivers,source_session_key,int64,40,0,0.0,40,2
laps,meeting_key,int64,2031,0,0.0,2031,2
laps,session_key,int64,2031,0,0.0,2031,2
laps,driver_number,int64,2031,0,0.0,2031,21
laps,lap_number,int64,2031,0,0.0,2031,57
laps,date_start,"datetime64[ns, UTC]",2031,1,0.0492,2030,1990
laps,duration_sector_1,float64,2031,7,0.3447,2024,1558
laps,duration_sector_2,float64,2031,1,0.0492,2030,1596
laps,duration_sector_3,float64,2031,2,0.0985,2029,1422
laps,i1_speed,float64,2031,537,26.4402,1494,84
laps,i2_speed,float64,2031,1,0.0492,2030,129
laps,is_pit_out_lap,bool,2031,0,0.0,2031,2
laps,lap_duration,float64,2031,2,0.0985,2029,1797
laps,segments_sector_1,object,2031,1,0.0492,2030,418
laps,segments_sector_2,object,2031,1,0.0492,2030,370
laps,segments_sector_3,object,2031,1,0.0492,2030,262
laps,st_speed,float64,2031,172,8.4687,1859,127
laps,source_file,object,2031,0,0.0,2031,2
laps,source_endpoint,object,2031,0,0.0,2031,1
laps,source_year,int64,2031,0,0.0,2031,1
laps,source_session_key,int64,2031,0,0.0,2031,2
pit,date,"datetime64[ns, UTC]",62,0,0.0,62,61
pit,session_key,int64,62,0,0.0,62,2
pit,lap_number,int64,62,0,0.0,62,24
pit,lane_duration,float64,62,0,0.0,62,38
pit,stop_duration,object,62,62,100.0,0,0
pit,pit_duration,float64,62,0,0.0,62,38
pit,meeting_key,int64,62,0,0.0,62,2
pit,driver_number,int64,62,0,0.0,62,21
pit,source_file,object,62,0,0.0,62,2
pit,source_endpoint,object,62,0,0.0,62,1
pit,source_year,int64,62,0,0.0,62,1
pit,source_session_key,int64,62,0,0.0,62,2
weather,date,"datetime64[ns, UTC]",303,0,0.0,303,303
weather,session_key,int64,303,0,0.0,303,2
weather,air_temperature,float64,303,0,0.0,303,22
weather,pressure,float64,303,0,0.0,303,20
weather,humidity,float64,303,0,0.0,303,18
