endpoint,year,session_key,file_path,file_size_bytes,modified_time_utc
drivers,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9472.jsonl,8776,2026-05-19T14:01:46+00:00
drivers,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9480.jsonl,8636,2026-05-19T14:01:47+00:00
laps,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9472.jsonl,627120,2026-05-19T14:01:48+00:00
laps,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9480.jsonl,484539,2026-05-19T14:01:48+00:00
meetings,2024,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/meetings/year=2024/meetings.jsonl,19867,2026-05-19T14:01:45+00:00
pit,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9472.jsonl,8330,2026-05-19T14:01:49+00:00
pit,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9480.jsonl,3668,2026-05-19T14:01:49+00:00
position,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9472.jsonl,86157,2026-05-19T14:01:50+00:00
position,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2024/session_key=9480.jsonl,28278,2026-05-19T14:01:50+00:00
race_control,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9472.jsonl,19915,2026-05-19T14:01:51+00:00
race_control,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2024/session_key=9480.jsonl,19222,2026-05-19T14:01:52+00:00
session_result,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/session_result/year=2024/session_key=9472.jsonl,4084,2026-05-19T14:01:52+00:00
session_result,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/session_result/year=2024/session_key=9480.jsonl,4082,2026-05-19T14:01:52+00:00
sessions,2024,,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/sessions/year=2024/sessions.jsonl,48559,2026-05-19T14:01:46+00:00
weather,2024,9472.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/weather/year=2024/session_key=9472.jsonl,36611,2026-05-19T14:01:49+00:00
weather,2024,9480.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/weather/year=2024/session_key=9480.jsonl,34041,2026-05-19T14:01:50+00:00
