table_name,column_name,count,mean,std,min,p01,p05,p25,median,p75,p95,p99,max
driver_race_feature_mart,session_key,40,9476.0,4.050957,9472.0,9472.0,9472.0,9472.0,9476.0,9480.0,9480.0,9480.0,9480.0
driver_race_feature_mart,meeting_key,40,1229.5,0.50637,1229.0,1229.0,1229.0,1229.0,1229.5,1230.0,1230.0,1230.0,1230.0
driver_race_feature_mart,driver_number,40,26.875,23.631994,1.0,1.0,1.95,10.75,21.0,32.75,77.2,81.0,81.0
driver_race_feature_mart,points_finish,40,0.5,0.50637,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0
driver_race_feature_mart,final_position,38,10.026316,5.59675,1.0,1.0,1.85,5.25,10.0,14.75,18.15,19.63,20.0
driver_race_feature_mart,result_points,40,5.1,7.372158,0.0,0.0,0.0,0.0,0.5,8.5,18.35,25.61,26.0
driver_race_feature_mart,session_year,40,2024.0,0.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0
driver_race_feature_mart,circuit_key,40,106.0,43.547793,63.0,63.0,63.0,63.0,106.0,149.0,149.0,149.0,149.0
driver_race_feature_mart,lap_count,40,50.775,11.391602,2.0,3.56,46.85,50.0,52.5,56.25,57.0,57.0,57.0
driver_race_feature_mart,avg_lap_duration,40,98.745232,3.860204,96.582754,96.695552,96.971649,97.455333,98.315308,98.872558,99.824979,113.553826,121.917
driver_race_feature_mart,median_lap_duration,40,96.5682,4.390589,92.889,92.91981,93.3442,95.04,96.005,97.30775,97.94165,112.60848,121.917
driver_race_feature_mart,best_lap_duration,40,94.50615,4.676088,91.632,91.67646,91.77165,92.331,94.1445,95.0895,96.2032,111.89751,121.917
driver_race_feature_mart,std_lap_duration,39,9.694762,5.490819,3.174017,3.477914,4.00364,4.147249,10.252939,14.92482,16.433614,16.791465,16.918751
driver_race_feature_mart,avg_sector_1,40,34.357851,2.925377,31.433789,31.459057,31.503029,31.802949,34.575244,36.341811,37.052911,42.430363,45.749
driver_race_feature_mart,avg_sector_2,40,36.593586,5.679853,30.289833,30.352517,30.539594,30.858075,38.774421,42.171937,42.4395,42.509748,42.522339
driver_race_feature_mart,avg_sector_3,40,27.724309,4.003328,23.709737,23.719247,23.754373,24.0773,27.310727,30.98657,31.213867,36.596946,40.034
driver_race_feature_mart,avg_i1_speed,40,254.43361,23.958025,221.0,224.082857,228.995238,232.905996,235.144079,279.088462,281.462673,283.331429,284.0
driver_race_feature_mart,avg_i2_speed,40,274.49906,24.794795,213.0,226.608947,249.27807,253.723214,262.026316,297.167143,305.393878,306.87038,307.74
driver_race_feature_mart,avg_st_speed,40,299.473049,14.277221,224.0,249.342353,289.907715,296.306686,300.175556,303.83102,314.958694,318.943061,321.020408
driver_race_feature_mart,pit_out_lap_count,40,1.55,0.714322,0.0,0.0,0.95,1.0,2.0,2.0,3.0,3.0,3.0
driver_race_feature_mart,avg_first5_lap_duration,40,98.99449,4.340776,94.3576,94.55806,95.06597,97.28975,98.4217,99.7382,101.2607,116.268552,121.917
driver_race_feature_mart,best_first5_lap_duration,40,97.1757,4.278705,93.754,93.86788,94.17235,95.48075,96.351,98.2625,98.61075,112.83312,121.917
driver_race_feature_mart,std_first5_lap_duration,39,3.051073,2.254209,0.561152,0.601815,0.822439,1.936431,2.804049,3.656738,4.576853,11.338578,14.940615
driver_race_feature_mart,pit_stop_count,40,1.55,0.714322,0.0,0.0,0.95,1.0,2.0,2.0,3.0,3.0,3.0
driver_race_feature_mart,avg_pit_duration,38,26.029386,8.601382,20.1,20.285,20.94,22.125,24.45,24.9375,46.9375,58.5825,63.3
driver_race_feature_mart,min_pit_duration,38,25.039474,7.53527,20.1,20.285,20.94,22.125,24.1,24.7,29.385,57.01,63.3
driver_race_feature_mart,max_pit_duration,38,27.228947,11.207138,20.1,20.285,20.94,22.125,24.5,25.1,48.85,70.482,74.7
driver_race_feature_mart,first_pit_lap,38,12.578947,9.039348,1.0,3.22,7.0,7.0,10.5,13.0,36.15,39.52,41.0
driver_race_feature_mart,early_pit_stop_flag,40,0.475,0.505736,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
driver_race_feature_mart,first_observed_position,40,10.5,5.83974,1.0,1.0,1.95,5.75,10.5,15.25,19.05,20.0,20.0
driver_race_feature_mart,early_avg_position,40,9.733333,5.227998,1.333333,1.827333,2.79,5.15,9.1,14.05,18.23,19.044,19.2
driver_race_feature_mart,early_min_position,40,7.875,5.393194,1.0,1.0,1.0,3.0,6.5,12.25,17.05,18.0,18.0
driver_race_feature_mart,early_max_position,40,11.975,5.327661,2.0,2.39,3.95,7.75,12.5,16.25,20.0,20.0,20.0
driver_race_feature_mart,position_observation_count,40,4.95,0.316228,3.0,3.78,5.0,5.0,5.0,5.0,5.0,5.0,5.0
driver_race_feature_mart,diagnostic_final_observed_position,40,10.5,5.83974,1.0,1.0,1.95,5.75,10.5,15.25,19.05,20.0,20.0
driver_race_feature_mart,avg_air_temperature,40,21.877735,3.69685,18.227389,18.227389,18.227389,18.227389,21.877735,25.528082,25.528082,25.528082,25.528082
driver_race_feature_mart,avg_track_temperature,40,27.623008,4.020719,23.652866,23.652866,23.652866,23.652866,27.623008,31.593151,31.593151,31.593151,31.593151
driver_race_feature_mart,avg_humidity,40,55.578636,6.84306,48.821656,48.821656,48.821656,48.821656,55.578636,62.335616,62.335616,62.335616,62.335616
driver_race_feature_mart,avg_pressure,40,1014.934432,2.280239,1012.682877,1012.682877,1012.682877,1012.682877,1014.934432,1017.185987,1017.185987,1017.185987,1017.185987
driver_race_feature_mart,avg_wind_speed,40,1.044363,0.261668,0.785987,0.785987,0.785987,0.785987,1.044363,1.30274,1.30274,1.30274,1.30274
driver_race_feature_mart,rainfall_mean,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driver_race_feature_mart,rainfall_flag,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driver_race_feature_mart,race_control_message_count,40,69.5,1.519109,68.0,68.0,68.0,68.0,69.5,71.0,71.0,71.0,71.0
driver_race_feature_mart,flag_message_count,40,27.5,9.621024,18.0,18.0,18.0,18.0,27.5,37.0,37.0,37.0,37.0
driver_race_feature_mart,yellow_flag_count,40,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
driver_race_feature_mart,red_flag_count,40,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
driver_race_feature_mart,green_flag_count,40,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
driver_race_feature_mart,safety_car_message_count,40,1.0,1.012739,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
driver_race_feature_mart,pit_exit_message_count,40,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
