table_name,anomaly_type,column_name,anomaly_count,anomaly_pct,notes,stage
meetings,unparseable_datetime,date_end,0,0.0,Non-null values that failed datetime parsing,before
meetings,unparseable_datetime,date_start,0,0.0,Non-null values that failed datetime parsing,before
sessions,unparseable_datetime,date_end,0,0.0,Non-null values that failed datetime parsing,before
sessions,unparseable_datetime,date_start,0,0.0,Non-null values that failed datetime parsing,before
sessions,date_start_after_date_end,"date_start,date_end",0,0.0,Session start after session end,before
laps,unparseable_datetime,date_start,1,0.0492,Non-null values that failed datetime parsing,before
laps,lap_number_decrease_within_stint,lap_number,0,0.0,Lap number decreased when ordered within session/driver,before
pit,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,before
pit,pit_lap_non_positive,lap_number,0,0.0,Pit stop lap should be positive,before
weather,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,before
weather,weather_outside_session_bounds,date,113,37.2937,Weather timestamp outside session start/end (when boundaries available),before
position,unparseable_datetime,date,2,0.2157,Non-null values that failed datetime parsing,before
race_control,unparseable_datetime,date,4,2.8777,Non-null values that failed datetime parsing,before
meetings,unparseable_datetime,date_end,0,0.0,Non-null values that failed datetime parsing,after
meetings,unparseable_datetime,date_start,0,0.0,Non-null values that failed datetime parsing,after
sessions,unparseable_datetime,date_end,0,0.0,Non-null values that failed datetime parsing,after
sessions,unparseable_datetime,date_start,0,0.0,Non-null values that failed datetime parsing,after
sessions,date_start_after_date_end,"date_start,date_end",0,0.0,Session start after session end,after
laps,unparseable_datetime,date_start,1,0.0492,Non-null values that failed datetime parsing,after
laps,lap_number_decrease_within_stint,lap_number,0,0.0,Lap number decreased when ordered within session/driver,after
pit,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,after
pit,pit_lap_non_positive,lap_number,0,0.0,Pit stop lap should be positive,after
weather,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,after
weather,weather_outside_session_bounds,date,113,37.2937,Weather timestamp outside session start/end (when boundaries available),after
position,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,after
race_control,unparseable_datetime,date,0,0.0,Non-null values that failed datetime parsing,after
