endpoint,column_name,observed_types,files_seen,non_null_sample_count,sample_rows_checked
drivers,broadcast_name,str,1,20,20
drivers,country_code,str,1,20,20
drivers,driver_number,int,1,20,20
drivers,first_name,str,1,20,20
drivers,full_name,str,1,20,20
drivers,headshot_url,str,1,20,20
drivers,last_name,str,1,20,20
drivers,meeting_key,int,1,20,20
drivers,name_acronym,str,1,20,20
drivers,session_key,int,1,20,20
drivers,team_colour,str,1,20,20
drivers,team_name,str,1,20,20
laps,date_start,str,1,1000,1000
laps,driver_number,int,1,1000,1000
laps,duration_sector_1,float|null,1,998,1000
laps,duration_sector_2,float,1,1000,1000
laps,duration_sector_3,float,1,1000,1000
laps,i1_speed,int|null,1,736,1000
laps,i2_speed,int,1,1000,1000
laps,is_pit_out_lap,bool,1,1000,1000
laps,lap_duration,float,1,1000,1000
laps,lap_number,int,1,1000,1000
laps,meeting_key,int,1,1000,1000
laps,segments_sector_1,list,1,1000,1000
laps,segments_sector_2,list,1,1000,1000
laps,segments_sector_3,list,1,1000,1000
laps,session_key,int,1,1000,1000
laps,st_speed,int|null,1,853,1000
meetings,circuit_image,str,1,25,25
meetings,circuit_info_url,str,1,25,25
meetings,circuit_key,int,1,25,25
meetings,circuit_short_name,str,1,25,25
meetings,circuit_type,str,1,25,25
meetings,country_code,str,1,25,25
meetings,country_flag,str,1,25,25
meetings,country_key,int,1,25,25
meetings,country_name,str,1,25,25
meetings,date_end,str,1,25,25
meetings,date_start,str,1,25,25
meetings,gmt_offset,str,1,25,25
meetings,is_cancelled,bool,1,25,25
meetings,location,str,1,25,25
meetings,meeting_key,int,1,25,25
meetings,meeting_name,str,1,25,25
meetings,meeting_official_name,str,1,25,25
meetings,year,int,1,25,25
pit,date,str,1,43,43
pit,driver_number,int,1,43,43
pit,lane_duration,float,1,43,43
pit,lap_number,int,1,43,43
pit,meeting_key,int,1,43,43
pit,pit_duration,float,1,43,43
pit,session_key,int,1,43,43
pit,stop_duration,null,1,0,43
position,date,str,1,698,698
position,driver_number,int,1,698,698
position,meeting_key,int,1,698,698
position,position,int,1,698,698
position,session_key,int,1,698,698
race_control,category,str,1,71,71
race_control,date,str,1,71,71
race_control,driver_number,int|null,1,29,71
race_control,flag,null|str,1,37,71
race_control,lap_number,int,1,71,71
race_control,meeting_key,int,1,71,71
race_control,message,str,1,71,71
race_control,qualifying_phase,null,1,0,71
race_control,scope,null|str,1,37,71
race_control,sector,int|null,1,7,71
race_control,session_key,int,1,71,71
sessions,circuit_key,int,1,123,123
sessions,circuit_short_name,str,1,123,123
sessions,country_code,str,1,123,123
sessions,country_key,int,1,123,123
sessions,country_name,str,1,123,123
sessions,date_end,str,1,123,123
sessions,date_start,str,1,123,123
sessions,gmt_offset,str,1,123,123
sessions,is_cancelled,bool,1,123,123
sessions,location,str,1,123,123
sessions,meeting_key,int,1,123,123
sessions,session_key,int,1,123,123
sessions,session_name,str,1,123,123
sessions,session_type,str,1,123,123
sessions,year,int,1,123,123
weather,air_temperature,float,1,157,157
weather,date,str,1,157,157
weather,humidity,float,1,157,157
weather,meeting_key,int,1,157,157
weather,pressure,float,1,157,157
weather,rainfall,int,1,157,157
weather,session_key,int,1,157,157
weather,track_temperature,float,1,157,157
weather,wind_direction,int,1,157,157
weather,wind_speed,float,1,157,157
